                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8229,                 2.4869,                 1.0636,                0.35994,                0.15401,                0.11723,                0.06153,                 1.6963,                 1.5854,                 1.0165,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.7324,                 1.6247,                 1.0193,                0.20739,                0.17844,                0.14487,                0.07735,                 1.7082,                 1.5105,                0.98863,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.7465,                 1.5557,                 1.0135,                0.23054,                0.20697,                0.15983,                0.08918,                 1.6574,                 1.4335,                0.99291,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.7234,                 1.4904,                 1.0066,                0.25859,                0.21321,                0.18329,                0.09918,                 1.6343,                 1.4463,                0.97667,               0.009703,               0.009703,               0.009703
                      5,                 1.6824,                 1.4276,                0.99431,                0.29377,                0.23689,                  0.208,                0.11666,                 1.5867,                 1.2905,                0.96782,               0.009604,               0.009604,               0.009604
                      6,                 1.6545,                 1.3688,                0.98349,                0.30784,                0.23094,                0.21006,                 0.1167,                 1.6004,                  1.298,                0.96861,               0.009505,               0.009505,               0.009505
                      7,                 1.6166,                 1.3298,                0.97897,                 0.3038,                0.24572,                0.21892,                 0.1227,                 1.5372,                 1.2363,                0.95524,               0.009406,               0.009406,               0.009406
                      8,                 1.6061,                 1.3012,                0.97178,                 0.3188,                0.24731,                0.22416,                0.12451,                 1.5667,                 1.2279,                0.95779,               0.009307,               0.009307,               0.009307
                      9,                 1.5867,                 1.2771,                0.96866,                0.33012,                0.24782,                0.23188,                0.13122,                 1.5268,                 1.2277,                 0.9549,               0.009208,               0.009208,               0.009208
                     10,                  1.573,                 1.2491,                 0.9665,                0.33256,                0.27291,                0.24502,                0.13928,                 1.4979,                 1.1884,                0.94687,               0.009109,               0.009109,               0.009109
                     11,                 1.5511,                 1.2326,                 0.9606,                0.33826,                0.26466,                0.24313,                0.13776,                 1.4866,                 1.1715,                0.94751,                0.00901,                0.00901,                0.00901
                     12,                 1.5459,                 1.2148,                0.95957,                0.36756,                0.28004,                0.26129,                0.14758,                 1.4809,                  1.146,                0.94169,               0.008911,               0.008911,               0.008911
                     13,                 1.5407,                 1.2006,                0.95665,                0.34852,                0.26871,                0.25296,                0.14313,                 1.4951,                 1.1674,                0.94549,               0.008812,               0.008812,               0.008812
                     14,                  1.517,                 1.1783,                0.95133,                0.36934,                0.27118,                 0.2642,                0.14906,                 1.4824,                 1.1376,                0.94363,               0.008713,               0.008713,               0.008713
                     15,                 1.5211,                 1.1729,                0.95265,                0.38375,                0.27978,                0.26507,                0.15158,                 1.4705,                 1.1189,                0.94017,               0.008614,               0.008614,               0.008614
                     16,                 1.5168,                 1.1671,                   0.95,                0.37393,                0.27968,                0.27278,                0.15583,                 1.4497,                 1.1079,                0.93584,               0.008515,               0.008515,               0.008515
                     17,                 1.4956,                 1.1467,                0.94875,                0.35632,                0.28157,                0.26378,                0.14818,                  1.473,                 1.1394,                0.93809,               0.008416,               0.008416,               0.008416
                     18,                 1.5064,                 1.1434,                0.94625,                 0.3902,                0.29059,                0.27822,                0.15825,                 1.4347,                 1.0795,                0.93313,               0.008317,               0.008317,               0.008317
                     19,                 1.4944,                 1.1376,                0.94482,                 0.3761,                0.28693,                0.27756,                0.15794,                 1.4451,                 1.0984,                0.93388,               0.008218,               0.008218,               0.008218
                     20,                 1.4885,                  1.125,                0.94598,                0.38869,                0.28954,                0.27978,                0.15948,                 1.4393,                  1.085,                 0.9318,               0.008119,               0.008119,               0.008119
                     21,                 1.4776,                 1.1206,                0.94117,                0.38856,                0.29513,                0.28103,                0.15778,                 1.4373,                 1.0961,                0.93372,                0.00802,                0.00802,                0.00802
                     22,                 1.4749,                 1.1117,                0.93994,                0.39706,                0.28907,                0.28636,                0.16207,                  1.423,                 1.0755,                0.93153,               0.007921,               0.007921,               0.007921
                     23,                 1.4702,                 1.1021,                0.93883,                0.38711,                0.29848,                0.28393,                0.16171,                 1.4249,                 1.0785,                0.93254,               0.007822,               0.007822,               0.007822
                     24,                 1.4662,                 1.0992,                0.93711,                0.38204,                 0.3022,                0.28709,                0.16374,                 1.4189,                 1.0677,                0.92833,               0.007723,               0.007723,               0.007723
                     25,                 1.4518,                 1.0907,                0.93734,                 0.3872,                0.29658,                0.28604,                0.16243,                 1.4211,                 1.0776,                0.92776,               0.007624,               0.007624,               0.007624
                     26,                 1.4601,                 1.0915,                0.93806,                 0.3928,                 0.3005,                0.29208,                0.16792,                 1.4057,                 1.0606,                0.92773,               0.007525,               0.007525,               0.007525
                     27,                 1.4488,                 1.0844,                0.93452,                0.40064,                0.29545,                 0.2902,                0.16364,                 1.4188,                  1.066,                0.92759,               0.007426,               0.007426,               0.007426
                     28,                 1.4499,                 1.0825,                0.93417,                0.38415,                0.29993,                0.28613,                0.16372,                 1.4074,                 1.0599,                0.92431,               0.007327,               0.007327,               0.007327
                     29,                 1.4473,                  1.072,                0.93299,                0.39107,                0.30381,                0.29322,                0.16754,                 1.4069,                  1.052,                 0.9252,               0.007228,               0.007228,               0.007228
                     30,                 1.4467,                 1.0649,                0.93252,                0.39649,                0.29965,                0.29126,                0.16646,                 1.4074,                 1.0527,                0.92583,               0.007129,               0.007129,               0.007129
                     31,                 1.4458,                 1.0688,                0.93357,                0.39491,                0.30047,                0.29331,                0.16882,                 1.3995,                 1.0564,                0.92544,                0.00703,                0.00703,                0.00703
                     32,                 1.4306,                 1.0581,                0.92868,                0.41141,                0.29983,                0.29769,                0.17085,                 1.3971,                 1.0461,                0.92432,               0.006931,               0.006931,               0.006931
                     33,                 1.4298,                 1.0547,                 0.9277,                0.40137,                0.30681,                0.30138,                0.17276,                 1.3943,                 1.0367,                 0.9203,               0.006832,               0.006832,               0.006832
                     34,                 1.4286,                 1.0511,                0.92666,                  0.402,                0.31273,                0.30317,                0.17454,                  1.387,                 1.0333,                0.92007,               0.006733,               0.006733,               0.006733
                     35,                  1.423,                 1.0434,                0.92625,                0.41784,                0.30434,                  0.308,                0.17664,                 1.3837,                 1.0354,                0.92086,               0.006634,               0.006634,               0.006634
                     36,                  1.422,                 1.0435,                0.92934,                0.41392,                0.30527,                0.30248,                0.17489,                 1.3786,                 1.0332,                0.92019,               0.006535,               0.006535,               0.006535
                     37,                  1.421,                 1.0375,                 0.9261,                0.39762,                0.32083,                 0.3055,                0.17436,                 1.3815,                  1.029,                0.91739,               0.006436,               0.006436,               0.006436
                     38,                 1.4191,                 1.0353,                0.92664,                0.40206,                0.31388,                0.30434,                0.17602,                 1.3841,                 1.0255,                0.92014,               0.006337,               0.006337,               0.006337
                     39,                 1.4155,                 1.0347,                0.92497,                0.41168,                0.31158,                0.30771,                0.17629,                  1.388,                 1.0227,                0.91722,               0.006238,               0.006238,               0.006238
                     40,                 1.4123,                  1.029,                0.92582,                0.41076,                0.30816,                0.30179,                0.17368,                 1.3739,                 1.0273,                 0.9167,               0.006139,               0.006139,               0.006139
                     41,                 1.4152,                 1.0272,                0.92389,                0.41199,                0.31057,                0.30839,                0.17709,                 1.3764,                 1.0182,                0.91805,                0.00604,                0.00604,                0.00604
                     42,                 1.4014,                 1.0198,                0.92238,                0.41458,                0.31156,                0.30922,                0.17759,                 1.3781,                 1.0185,                0.91686,               0.005941,               0.005941,               0.005941
                     43,                 1.3997,                 1.0176,                0.92085,                0.41002,                0.31857,                 0.3099,                0.17873,                 1.3746,                 1.0162,                0.91627,               0.005842,               0.005842,               0.005842
                     44,                 1.3954,                 1.0104,                0.92125,                0.41381,                0.31658,                 0.3127,                0.18059,                 1.3706,                 1.0112,                0.91397,               0.005743,               0.005743,               0.005743
                     45,                 1.4068,                 1.0163,                0.92122,                0.42788,                0.31481,                0.31467,                0.18273,                 1.3616,                 1.0087,                0.91306,               0.005644,               0.005644,               0.005644
                     46,                 1.3964,                 1.0097,                0.92156,                 0.4289,                0.31669,                0.31475,                0.18208,                 1.3626,                 1.0081,                0.91352,               0.005545,               0.005545,               0.005545
                     47,                  1.392,                 1.0092,                0.92154,                0.41987,                0.31422,                0.31614,                 0.1824,                  1.363,                 1.0062,                0.91205,               0.005446,               0.005446,               0.005446
                     48,                 1.3914,                 1.0102,                0.92096,                0.41259,                0.31424,                0.31264,                0.18093,                 1.3593,                  1.005,                0.91327,               0.005347,               0.005347,               0.005347
                     49,                 1.3907,                  1.001,                0.92032,                0.42301,                0.32015,                0.31539,                 0.1814,                 1.3604,                 1.0039,                0.91201,               0.005248,               0.005248,               0.005248
                     50,                  1.394,                 1.0034,                0.91884,                0.43177,                0.32292,                0.31944,                0.18338,                 1.3596,                 1.0026,                0.91299,               0.005149,               0.005149,               0.005149
                     51,                 1.3896,                0.99514,                0.91861,                0.42402,                0.32102,                0.31567,                0.18258,                 1.3623,                 1.0035,                0.91288,                0.00505,                0.00505,                0.00505
                     52,                 1.3765,                0.98848,                0.91931,                0.43267,                0.32118,                0.31925,                0.18426,                 1.3558,                0.99417,                0.91208,               0.004951,               0.004951,               0.004951
                     53,                  1.383,                0.99023,                0.91765,                0.41862,                 0.3264,                0.31877,                0.18393,                 1.3544,                0.99805,                0.91199,               0.004852,               0.004852,               0.004852
                     54,                 1.3869,                0.99582,                0.91758,                0.42994,                0.32291,                0.32069,                0.18517,                 1.3487,                0.99184,                0.91018,               0.004753,               0.004753,               0.004753
                     55,                  1.382,                0.99024,                0.91659,                0.43654,                0.32062,                0.32263,                0.18704,                 1.3506,                0.99303,                0.91008,               0.004654,               0.004654,               0.004654
                     56,                 1.3779,                0.98618,                0.91658,                0.44707,                0.32192,                0.32556,                0.18673,                 1.3494,                0.98773,                0.91061,               0.004555,               0.004555,               0.004555
                     57,                 1.3762,                0.98218,                0.91646,                0.42914,                0.32386,                 0.3243,                0.18668,                 1.3506,                0.99152,                0.90963,               0.004456,               0.004456,               0.004456
                     58,                 1.3706,                0.97504,                0.91517,                0.43387,                0.32303,                0.32205,                0.18582,                 1.3498,                0.99462,                0.91055,               0.004357,               0.004357,               0.004357
                     59,                 1.3674,                0.97743,                0.91515,                0.42964,                0.33117,                0.32608,                 0.1879,                 1.3451,                0.98676,                0.90974,               0.004258,               0.004258,               0.004258
                     60,                 1.3695,                0.97223,                0.91527,                0.42749,                0.32195,                0.32234,                 0.1879,                 1.3458,                0.98656,                0.90858,               0.004159,               0.004159,               0.004159
                     61,                 1.3688,                0.97178,                0.91395,                0.42032,                0.32914,                0.32463,                0.18944,                 1.3413,                0.98325,                 0.9078,                0.00406,                0.00406,                0.00406
                     62,                 1.3633,                0.97033,                 0.9127,                0.42552,                0.32439,                 0.3246,                0.18899,                 1.3423,                0.98428,                0.90833,               0.003961,               0.003961,               0.003961
                     63,                 1.3656,                0.96866,                0.91211,                0.42345,                0.32569,                0.32492,                0.18906,                 1.3439,                0.98237,                0.90899,               0.003862,               0.003862,               0.003862
                     64,                 1.3736,                0.97158,                0.91282,                0.43185,                0.32563,                0.32611,                0.18983,                 1.3414,                0.98097,                0.90735,               0.003763,               0.003763,               0.003763
                     65,                 1.3634,                0.96725,                0.91246,                0.44124,                0.32392,                0.32367,                0.18868,                 1.3415,                0.98386,                0.90741,               0.003664,               0.003664,               0.003664
                     66,                 1.3656,                0.96433,                0.91193,                0.43207,                0.32851,                0.32797,                0.19126,                 1.3419,                0.97895,                0.90726,               0.003565,               0.003565,               0.003565
                     67,                 1.3601,                0.96083,                0.91265,                0.43055,                0.33354,                0.33032,                0.19139,                 1.3362,                0.97881,                0.90621,               0.003466,               0.003466,               0.003466
                     68,                 1.3561,                0.95564,                0.91154,                0.44282,                0.32517,                0.32998,                0.19127,                 1.3388,                0.97616,                0.90737,               0.003367,               0.003367,               0.003367
                     69,                 1.3547,                0.95441,                0.91033,                0.44085,                0.32867,                0.32909,                  0.191,                 1.3381,                0.97398,                  0.907,               0.003268,               0.003268,               0.003268
                     70,                 1.3469,                0.94686,                0.90872,                0.42722,                0.33259,                0.32749,                0.19006,                 1.3373,                0.97479,                0.90574,               0.003169,               0.003169,               0.003169
                     71,                 1.3501,                0.94648,                0.90788,                0.42736,                0.33133,                0.33057,                0.19141,                 1.3365,                0.97378,                0.90615,                0.00307,                0.00307,                0.00307
                     72,                 1.3413,                0.94394,                0.90922,                0.43349,                0.32774,                0.32795,                0.19141,                 1.3357,                0.97286,                0.90618,               0.002971,               0.002971,               0.002971
                     73,                 1.3437,                0.94371,                0.90834,                0.43028,                0.33105,                0.32876,                0.19137,                 1.3367,                0.97612,                0.90603,               0.002872,               0.002872,               0.002872
                     74,                 1.3521,                0.94466,                0.90897,                0.43676,                0.33101,                0.32948,                0.19184,                 1.3375,                  0.973,                0.90684,               0.002773,               0.002773,               0.002773
                     75,                 1.3397,                0.94035,                0.90594,                0.42834,                0.32982,                0.32875,                0.19078,                 1.3339,                0.97163,                0.90607,               0.002674,               0.002674,               0.002674
                     76,                 1.3444,                0.93712,                0.90686,                0.43398,                0.32824,                0.32787,                0.19123,                 1.3338,                0.96981,                0.90542,               0.002575,               0.002575,               0.002575
                     77,                 1.3359,                0.93271,                0.90666,                0.43706,                0.33146,                0.32973,                0.19342,                 1.3321,                0.97026,                0.90497,               0.002476,               0.002476,               0.002476
                     78,                 1.3368,                0.93603,                0.90635,                0.43897,                0.32678,                0.33173,                0.19405,                 1.3339,                0.96933,                 0.9054,               0.002377,               0.002377,               0.002377
                     79,                 1.3348,                0.92486,                0.90712,                0.43415,                0.33157,                0.33136,                0.19402,                 1.3356,                0.96687,                0.90614,               0.002278,               0.002278,               0.002278
                     80,                 1.3291,                0.92502,                0.90472,                0.43485,                0.33485,                0.33355,                0.19417,                 1.3334,                0.96582,                 0.9053,               0.002179,               0.002179,               0.002179
                     81,                 1.3339,                0.92964,                0.90638,                0.43587,                 0.3351,                0.33451,                0.19502,                 1.3282,                0.96626,                0.90441,                0.00208,                0.00208,                0.00208
                     82,                 1.3251,                0.92257,                0.90326,                0.44673,                0.33079,                0.33421,                0.19495,                 1.3268,                0.96353,                0.90428,               0.001981,               0.001981,               0.001981
                     83,                 1.3305,                0.91997,                0.90403,                0.42874,                 0.3366,                0.33322,                0.19476,                 1.3327,                0.96366,                0.90556,               0.001882,               0.001882,               0.001882
                     84,                 1.3254,                0.92275,                0.90412,                0.44325,                0.33288,                0.33482,                0.19509,                 1.3295,                0.96095,                0.90462,               0.001783,               0.001783,               0.001783
                     85,                 1.3256,                0.91534,                0.90364,                0.44389,                0.33142,                0.33402,                0.19488,                 1.3306,                0.96195,                0.90448,               0.001684,               0.001684,               0.001684
                     86,                 1.3177,                0.91569,                0.90443,                0.45435,                0.32705,                 0.3348,                 0.1959,                 1.3298,                0.96135,                0.90457,               0.001585,               0.001585,               0.001585
                     87,                 1.3177,                0.91279,                0.90383,                0.45895,                0.32482,                0.33505,                0.19563,                 1.3293,                0.96022,                0.90436,               0.001486,               0.001486,               0.001486
                     88,                 1.3128,                 0.9068,                0.90204,                 0.4469,                 0.3334,                0.33619,                0.19643,                 1.3308,                0.96109,                0.90488,               0.001387,               0.001387,               0.001387
                     89,                 1.3285,                0.91532,                0.90374,                0.44262,                0.33553,                0.33652,                0.19663,                 1.3309,                0.96063,                0.90457,               0.001288,               0.001288,               0.001288
                     90,                 1.3172,                0.90867,                0.90262,                0.44612,                0.33416,                0.33674,                0.19618,                 1.3299,                0.96153,                0.90424,               0.001189,               0.001189,               0.001189
